x,theta,xDot,thetaDot,u
0,0.523599,0,-0.785398,0.181296
0.00010562,0.523588,-5.78377e-05,-0.7854,0.162775
0.000360621,0.523524,-0.000186108,-0.785539,0.130686
0.000687361,0.523407,-0.000318096,-0.785836,0.116879
0.00105604,0.523256,-0.000430248,-0.786231,0.0962144
0.00144723,0.523074,-0.000512029,-0.786715,0.0854296
0.00184731,0.522871,-0.00055598,-0.787257,0.06998
0.00224772,0.522652,-0.000560413,-0.787845,0.0609218
0.00264106,0.522422,-0.000523615,-0.788461,0.0491805
0.00302285,0.522184,-0.000446608,-0.789096,0.0412261
0.00338889,0.521943,-0.000330055,-0.78974,0.0320861
0.00373657,0.521701,-0.000175908,-0.790384,0.0250747
0.00406343,0.52146,1.42064e-05,-0.791023,0.0177477
0.00436791,0.521221,0.000238078,-0.791653,0.0116137
0.00464856,0.520987,0.000493748,-0.792268,0.0055887
0.00490443,0.520758,0.000779019,-0.792867,0.000261658
0.00513468,0.520535,0.00109189,-0.793448,-0.00478386
0.00533879,0.520319,0.00143029,-0.794007,-0.00938598
0.0055163,0.52011,0.00179229,-0.794546,-0.0136597
0.00566699,0.519909,0.00217599,-0.795062,-0.0176207
0.00579068,0.519716,0.00257962,-0.795556,-0.0212626
0.00588735,0.519531,0.00300143,-0.796027,-0.0246608
0.00595703,0.519353,0.00343981,-0.796476,-0.0277704
0.00599984,0.519184,0.0038932,-0.796902,-0.0306757
0.00601597,0.519023,0.00436013,-0.797307,-0.0333279
0.00600566,0.51887,0.0048392,-0.797692,-0.0358012
0.00596922,0.518724,0.00532911,-0.798056,-0.0380549
0.00590697,0.518585,0.00582862,-0.7984,-0.0401483
0.0058193,0.518454,0.00633654,-0.798726,-0.0420518
0.00570662,0.51833,0.00685178,-0.799034,-0.0438102
0.00556937,0.518212,0.0073733,-0.799325,-0.0454038
0.00540803,0.518101,0.00790012,-0.799599,-0.0468658
0.00522308,0.517997,0.00843133,-0.799859,-0.048184
0.00501503,0.517898,0.00896606,-0.800104,-0.0493828
0.00478442,0.517805,0.0095035,-0.800336,-0.0504555
0.00453179,0.517717,0.0100429,-0.800555,-0.05142
0.00425769,0.517635,0.0105836,-0.800762,-0.0522733
0.00396269,0.517557,0.0111248,-0.800958,-0.0530286
0.00364736,0.517485,0.0116661,-0.801143,-0.0536853
0.00331229,0.517417,0.0122067,-0.801318,-0.0542534
0.00295805,0.517353,0.0127462,-0.801485,-0.0547338
0.00258524,0.517294,0.0132841,-0.801643,-0.0551342
0.00219446,0.517239,0.0138199,-0.801793,-0.0554562
0.00178629,0.517187,0.0143532,-0.801935,-0.0557058
0.00136134,0.517139,0.0148836,-0.802071,-0.0558854
0.000920189,0.517095,0.0154108,-0.802201,-0.0559995
0.000463444,0.517053,0.0159343,-0.802325,-0.0560507
-8.30772e-06,0.517016,0.0164539,-0.802444,-0.0560429
-0.000494475,0.516981,0.0169693,-0.802558,-0.0559784
-0.00099447,0.516949,0.0174803,-0.802668,-0.0558606
-0.00150771,0.51692,0.0179867,-0.802773,-0.0556918
-0.00203361,0.516893,0.0184881,-0.802875,-0.0554748
-0.00257161,0.516869,0.0189844,-0.802973,-0.0552117
-0.00312112,0.516848,0.0194756,-0.803069,-0.0549051
-0.00368158,0.516829,0.0199613,-0.803161,-0.0545569
-0.00425243,0.516813,0.0204415,-0.803251,-0.0541692
-0.00483312,0.516798,0.020916,-0.803339,-0.0537439
-0.0054231,0.516786,0.0213848,-0.803425,-0.053283
-0.00602182,0.516777,0.0218477,-0.803509,-0.0527879
-0.00662875,0.516769,0.0223047,-0.803592,-0.0522605
-0.00724335,0.516763,0.0227558,-0.803673,-0.0517023
-0.00786511,0.516759,0.0232008,-0.803753,-0.0511148
-0.0084935,0.516758,0.0236397,-0.803832,-0.0504992
-0.00912802,0.516758,0.0240726,-0.80391,-0.049857
-0.00976815,0.51676,0.0244993,-0.803988,-0.0491894
-0.0104134,0.516764,0.0249199,-0.804065,-0.0484976
-0.0110633,0.516769,0.0253344,-0.804141,-0.0477827
-0.0117173,0.516777,0.0257427,-0.804217,-0.0470458
-0.012375,0.516786,0.0261449,-0.804293,-0.0462879
-0.0130359,0.516797,0.0265411,-0.804369,-0.0455099
-0.0136996,0.51681,0.0269312,-0.804446,-0.0447127
-0.0143655,0.516825,0.0273153,-0.804522,-0.0438972
-0.0150332,0.516842,0.0276934,-0.804598,-0.0430642
-0.0157024,0.51686,0.0280655,-0.804675,-0.0422145
-0.0163725,0.51688,0.0284318,-0.804752,-0.0413487
-0.0170431,0.516902,0.0287922,-0.80483,-0.0404677
-0.0177138,0.516925,0.0291468,-0.804908,-0.0395719
-0.0183841,0.516951,0.0294957,-0.804987,-0.0386621
-0.0190538,0.516978,0.029839,-0.805066,-0.0377389
-0.0197223,0.517007,0.0301766,-0.805147,-0.0368027
-0.0203893,0.517038,0.0305088,-0.805228,-0.0358541
-0.0210544,0.517071,0.0308354,-0.80531,-0.0348936
-0.0217171,0.517106,0.0311567,-0.805393,-0.0339216
-0.0223772,0.517143,0.0314728,-0.805477,-0.0329386
-0.0230342,0.517181,0.0317836,-0.805562,-0.0319449
-0.0236878,0.517222,0.0320892,-0.805648,-0.0309411
-0.0243376,0.517265,0.0323898,-0.805736,-0.0299274
-0.0249833,0.51731,0.0326854,-0.805824,-0.0289042
-0.0256245,0.517357,0.0329761,-0.805914,-0.0278718
-0.0262608,0.517406,0.033262,-0.806006,-0.0268305
-0.026892,0.517457,0.0335432,-0.806098,-0.0257807
-0.0275177,0.51751,0.0338197,-0.806193,-0.0247225
-0.0281376,0.517566,0.0340917,-0.806289,-0.0236562
-0.0287513,0.517624,0.0343592,-0.806386,-0.0225822
